  ,SFHH011AA,SFHH011AB,SFHH011AC,SFHH011AD,SFHH011AE,SFHH011AF,SFHH011AG,SFHH011AH,SFHH011AI,SFHH011AJ,SFHH011AK,SFHH011AL,SFHH011AM,SFHH011AN,SFHH011AO,SFHH011AP,SFHH011AQ,SFHH011AR,SFHH011A,SFHH011AS,SFHH011AT,SFHH011AU,SFHH011AV,SFHH011AW,SFHH011AX,SFHH011AY,SFHH011AZ,SFHH011BA,SFHH011BB,SFHH011BC,SFHH011BD,SFHH011BE,SFHH011BF,SFHH011BG,SFHH011BH,SFHH011BI,SFHH011BJ,SFHH011BK,SFHH011BL,SFHH011BM,SFHH011BN,SFHH011BO,SFHH011BP,SFHH011BQ,SFHH011BR,SFHH011B,SFHH011BS,SFHH011BT,SFHH011BU,SFHH011BV,SFHH011BW,SFHH011BX,SFHH011BY,SFHH011BZ,SFHH011CA,SFHH011CB,SFHH011CC,SFHH011CD,SFHH011CE,SFHH011CF,SFHH011CG,SFHH011CH,SFHH011C,SFHH011D,SFHH011E,SFHH011F,SFHH011G,SFHH011H,SFHH011I,SFHH011J,SFHH011K,SFHH011L,SFHH011M,SFHH011N,SFHH011O,SFHH011P,SFHH011Q,SFHH011R,SFHH011S,SFHH011T,SFHH011U,SFHH011V,SFHH011W,SFHH011X,SFHH011Y,SFHH011Z
meta,IPS,AGS,Test-SE,AGS,BTC,BTC,IPS,BTC,IPS,IPS,IPS,IPS,AGS,AGS,BTC,IPS,AGS,BTC,AGS,IPS,IPS,BTC,BTC,BTC,BTC,AGS,IPS,BTC,Test-SE,BTC,BTC,IPS,AGS,BTC,IPS,IPS,BTC,BTC,BTC,AGS,AGS,AGS,BTC,BTC,IPS,IPS,AGS,BTC,IPS,BTC,AGS,BTC,BTC,Test-SE,IPS,IPS,IPS,EXPI-PAN,EXPI-PAN,EXPI-PAN,EXPI-PAN,Test-SE,IPS,AGS,BTC,IPS,BTC,AGS,Test-SE,BTC,BTC,BTC,BTC,AGS,AGS,BTC,IPS,IPS,Test-SE,BTC,BTC,BTC,BTC,BTC,AGS,BTC
Paired Raw Read Count,11511397,8142210,8180462,10296694,9285744,10078326,11635433,8846214,10630989,8434680,6764653,5826567,6660922,11148087,9279562,10634029,12037577,10977350,10193695,10305586,3584992,8443045,11611860,2853190,6401309,6452799,9006359,6242041,6430568,10490337,12690964,9128559,7559105,3146044,7063949,11212375,11034649,7675429,3992633,8703156,8133210,4285145,3996213,11761538,10013144,7536,9442823,9158809,11836641,11010127,10881452,8998492,8077809,6448144,12757684,11643282,12189073,11139889,10066191,11892853,11362719,11225832,7813336,11133909,9775006,11998553,7422754,8175180,8180839,10291039,7042762,8767420,7118568,6742820,10141183,10877259,6263754,8014479,3510553,6952847,11962381,6025225,10113465,12445268,9772474,7862151
q15 adapter Trim Ave R1 Read Length,128.584,130.695,118.758,125.42,125.001,125.059,129.765,132.636,130.172,134.335,125.391,105.041,107.281,128.89,119.603,128.921,119.765,130.636,125.178,121.082,124.583,112.115,123.479,127.325,133.754,122.572,123.551,126.018,122.694,120.619,129.248,129.017,126.474,132.618,133.272,126.364,126.526,130.277,128.37,128.262,128.428,125.338,114.659,,,131.161,,,,,,,,,,,,,,,,,127.08,136.555,125.806,138.566,119.397,127.272,121.61,132.356,136.583,124.934,131.849,131.113,132.676,124.549,122.939,141.319,118.408,100.923,128.624,126.402,125.706,117.672,125.935,121.986
q15 poly Trim Read Count,7294242,5076281,3135528,4005110,3648497,4636772,7588705,5841685,6863402,5241124,4266634,3066244,3540455,7068450,4287090,5943696,7037059,7123367,5853723,4809605,1330389,3002729,5444573,1435272,3364830,3658404,5149261,3221832,3322677,5225022,6585160,5054237,3935175,1643358,3691975,5551373,5755701,4318197,2578990,5400318,5043423,2020563,1666476,,,3902,,,,,,,,,,,,,,,,,4546108,7391140,5773399,7497309,4192255,4663247,4558531,3657439,4307659,2491930,4629987,3685589,5609897,6339599,3036554,5151791,1453323,1857807,6028883,2705494,4343912,5234505,5271808,3007748
q15 poly Trim % Read Count,94.41,92.78,76.53,93.45,90.76,88.70,94.21,89.46,92.58,86.08,90.37,85.95,83.72,91.60,79.58,85.79,92.02,93.48,93.30,91.91,79.48,63.99,80.04,88.78,90.01,89.56,90.76,87.35,82.63,83.22,89.14,93.26,83.37,93.13,95.59,90.59,91.97,95.73,93.46,92.28,91.58,77.51,63.32,,,89.99,,,,,,,,,,,,,,,,,93.54,96.50,91.54,97.00,85.16,93.35,85.93,92.96,89.54,84.65,88.74,93.30,93.02,92.64,89.53,95.44,76.62,50.33,92.52,94.88,88.35,76.66,92.89,76.24
q15 poly Trim Ave R1 Read Length,88.3687,93.3696,81.9496,85.9992,84.2602,85.1767,89.3342,100.551,93.8823,103.734,86.648,65.884,66.9315,93.8875,80.3203,89.6113,79.8104,91.2773,82.0507,79.9231,84.4944,93.8467,85.0859,81.8985,100.787,80.9832,79.4233,84.0023,80.6373,77.9754,84.0475,87.9587,86.753,88.6389,98.325,84.8776,83.9106,91.0612,90.1734,89.7193,88.8984,91.4546,81.6534,,,85.3908,,,,,,,,,,,,,,,,,84.6216,102.728,83.7311,104.142,76.5748,86.6689,83.844,91.8488,103.147,86.2835,96.3695,91.6652,94.6483,82.0967,81.8517,111.462,75.5371,75.9716,86.9242,87.377,87.4236,80.2027,86.6891,89.3486
q15 hg38 aligned Count,6598363,4641646,2691225,3638468,3287897,4169080,6912779,5288127,6209231,4792574,3800569,2644546,3067907,6479162,3664887,5295580,6217352,6424635,5227514,4269860,1173000,2636815,4765174,1274423,3048388,3219808,4532248,2838254,2892292,4466683,5874150,4561322,3495747,1497412,3425104,4939977,5119502,3935344,2360770,,,1828232,1424619,,,3478,,,,,,,,,,,,,,,,,4080790,6850877,5098956,6987610,3607412,4180083,3966431,3336028,3867124,2184949,4181490,3353172,5111311,5628851,2678451,4823909,1199889,1488602,5445927,2468678,3923436,4513986,4747569,2627063
q15 hg38 aligned %,90.45,91.43,85.83,90.84,90.11,89.91,91.09,90.52,90.46,91.44,89.07,86.24,86.65,91.66,85.48,89.09,88.35,90.19,89.30,88.77,88.16,87.81,87.52,88.79,90.59,88.01,88.01,88.09,87.04,85.48,89.20,90.24,88.83,91.11,92.77,88.98,88.94,91.13,91.53,,,90.48,85.48,,,89.13,,,,,,,,,,,,,,,,,89.76,92.69,88.31,93.20,86.04,89.63,87.01,91.21,89.77,87.68,90.31,90.98,91.11,88.78,88.20,93.63,82.56,80.12,90.33,91.24,90.32,86.23,90.05,87.34
q15 hg38 unaligned Count,695879,434635,444303,366642,360600,467692,675926,553558,654171,448550,466065,421698,472548,589288,622203,648116,819707,698732,626209,539745,157389,365914,679399,160849,316442,438596,617013,383578,430385,758339,711010,492915,439428,145946,266871,611396,636199,382853,218220,,,192331,241857,,,424,,,,,,,,,,,,,,,,,465318,540263,674443,509699,584843,483164,592100,321411,440535,306981,448497,332417,498586,710748,358103,327882,253434,369205,582956,236816,420476,720519,524239,380685
q15 hg38 unaligned %,9.54,8.56,14.16,9.15,9.88,10.08,8.90,9.47,9.53,8.55,10.92,13.75,13.34,8.33,14.51,10.90,11.64,9.80,10.69,11.22,11.83,12.18,12.47,11.20,9.40,11.98,11.98,11.90,12.95,14.51,10.79,9.75,11.16,8.88,7.22,11.01,11.05,8.86,8.46,,,9.51,14.51,,,10.86,,,,,,,,,,,,,,,,,10.23,7.30,11.68,6.79,13.95,10.36,12.98,8.78,10.22,12.31,9.68,9.01,8.88,11.21,11.79,6.36,17.43,19.87,9.66,8.75,9.67,13.76,9.94,12.65
q15 hg38 deduped Count,5617953,3887585,1446195,3182014,2737600,2927146,5624473,4136709,4511095,2948763,1407370,2113778,2133548,3101715,1838487,3129184,4085393,5082285,3887043,3778608,1017357,1353581,2715161,1195288,949363,2146526,3157869,1545813,1302744,3147698,4502747,3913006,2185398,1335233,2765789,3581004,3451942,3049295,1555503,,,971746,500863,,,3381,,,,,,,,,,,,,,,,,3511741,5685781,3790352,5247262,1528236,3508550,1976636,3076149,1410522,1754615,2922434,2989116,4034863,4258926,1484808,3990838,839253,794960,4542485,626830,2901247,1959281,3816381,1342870
q15 hg38 deduped aligned %,85.14,83.75,53.73,87.45,83.26,70.21,81.36,78.22,72.65,61.52,37.03,79.92,69.54,47.87,50.16,59.09,65.70,79.10,74.35,88.49,86.73,51.33,56.97,93.79,31.14,66.66,69.67,54.46,45.04,70.47,76.65,85.78,62.51,89.16,80.75,72.49,67.42,77.48,65.88,,,53.15,35.15,,,97.21,,,,,,,,,,,,,,,,,86.05,82.99,74.33,75.09,42.36,83.93,49.83,92.20,36.47,80.30,69.88,89.14,78.93,75.66,55.43,82.73,69.94,53.40,83.41,25.39,73.94,43.40,80.38,51.11
