id	filename	md5	size	state
8609fbe7-a716-462b-93eb-2d185779d08a	087798c0-9385-45f2-91de-4c1070373735.rna_seq.genomic.gdc_realn.bam	fc9b9b46b824abf1e416f79fd7bb9fde	11020214895	released
449f6c29-61b0-4eb9-bccd-abbbadf9d04f	de01e920-6b97-454c-a14f-b90f212e0df5.rna_seq.genomic.gdc_realn.bam	cb4996b26c57c1c6ed50744c6e1334cb	11883658019	released
2460abb0-1780-43db-abf6-ebf4fc6d41e7	4961962b-f3af-4bf9-a3f8-edd3dc0b1c66.rna_seq.genomic.gdc_realn.bam	f13e9315f85612acc504544857914369	12826710240	released
d4a1300c-40da-40f0-a809-4373e3f9c27a	3c6e8807-4201-401e-9a82-4e10e088e835.rna_seq.genomic.gdc_realn.bam	4d1f9cea14faecf5f2eb669ac7bcafb6	15679152746	released
ea03f3e2-181a-4df5-a4a1-6832921c4afe	32c352b5-632e-4100-b7f2-1907b4a1be20.rna_seq.genomic.gdc_realn.bam	b213b836d66e6bb844330566a66d46b3	11632925553	released
d4ced8cf-9682-49fa-b1f8-e8d132b4f77f	92e5c456-9a2f-4744-be9b-d6c2afe8da5a.rna_seq.genomic.gdc_realn.bam	5cccd64b89d4342731a6723507d6797e	9302255485	released
1c3ab700-a9a7-4186-b642-8e6512256cea	54add748-3682-48ce-ab93-9b01c74a22c4.rna_seq.genomic.gdc_realn.bam	8fde29053c147d9d29f09e1532a79a89	7410670261	released
0f0d887e-cb5c-4fd3-98b9-38159ba944e1	7e0cb2e1-e77d-4574-a209-69ea2956cfcc.rna_seq.genomic.gdc_realn.bam	55852ca3bb2757288d7c51b2b61fa7b1	11474251491	released
1362fc45-f46a-4e68-b7a7-6780c8f5b88a	0cb81c5a-c9d6-458b-b1ee-5555674a5515.rna_seq.genomic.gdc_realn.bam	daaede8138bd1593d4d1a552e1d0eeb4	11203691021	released
3e063833-a70d-41b6-a15d-81ce39f39b99	62aeadc3-ca12-4667-a034-54e68f782ede.rna_seq.genomic.gdc_realn.bam	8b7f9b3fbdbde2615aa760b869bb015a	10997948325	released
872dad5a-8191-446b-aba8-477330422f8d	c33e98f6-0c8d-46bb-a448-7e5f21c39e7e.rna_seq.genomic.gdc_realn.bam	618fbffea2ae4970e0283ff708fdaa0a	9277511521	released
ef8f75b2-a353-4449-bd14-2e46f9883269	1c87f2af-8715-43d9-9150-9ddc00bc5d8a.rna_seq.genomic.gdc_realn.bam	27586ef861e1ef5b2b13dfd293be9664	11087159292	released
f8304730-111e-4b2a-b43e-63e355140d21	27e0478b-8350-4f8d-ad60-1324362add38.rna_seq.genomic.gdc_realn.bam	8dbea2aab52b1c86ed9e781e6a0a5576	14136254698	released
65f42d45-acf6-45b3-bb8f-34c5b1d0afce	06860a42-6286-4846-83a0-b2bbd1f326a3.rna_seq.genomic.gdc_realn.bam	721f28c167080af678e337dce252a482	14368480494	released
7dd19c3d-92f7-40c3-bd4e-0c1509d8f0a2	a86e0e7c-465e-464e-bc5a-916c9573060b.rna_seq.genomic.gdc_realn.bam	4ff6c450eb172dbd97eb1bd98759b043	11835243541	released
882745de-41e0-4171-bcae-d80d6056a347	a8ad2966-f53f-4d8a-9e71-27bc31497cfa.rna_seq.genomic.gdc_realn.bam	c0c16ab0890a8a18da48302264da9dba	12864403834	released
0ae9771a-089f-4f1c-a80d-59fe5b2c741d	46e647ba-b1d4-478b-9e04-496815f06cbc.rna_seq.genomic.gdc_realn.bam	47e606272bbe000d5ded3c8a99ba8f49	8888808752	released
5e5e062e-8f2e-4a62-9d83-7ae517f4f973	83d713c3-e939-49d3-9440-f0ac20b48e6b.rna_seq.genomic.gdc_realn.bam	637bf84fdb7fa9fb5c405604de57c693	8346586056	released
68bc6f64-d519-4cb8-8703-2c4f01ae7343	348b5de7-e825-4fac-aea5-dd1f56d1f775.rna_seq.genomic.gdc_realn.bam	3d1fdb997362bdec3a2061c3810a6093	12002749726	released
8112ee88-f7e6-4283-9f34-d085074cf335	a06bc4ff-1cde-42bc-b1be-cc8fcce4bcbc.rna_seq.genomic.gdc_realn.bam	d177d97bbc2ee95eee1400a4d32cb229	13890784704	released
d8684db5-c4b2-427a-96b6-1e7b83c07469	1f8eeb5c-4532-43cb-9dd2-d0a70566d7ca.rna_seq.genomic.gdc_realn.bam	fed550ae88817e2191e21254e23baca1	11572605643	released
b822e39b-8b69-4caf-9f82-12719d4e6146	8da9e66a-2d9b-4dad-8f6f-7de08bdd7a63.rna_seq.genomic.gdc_realn.bam	3fe63c54deb7a6d4a54f6718a565c5b8	11470861937	released
eb44b3a3-e733-4ac8-8d11-42914f61b794	66b53c8c-fdfc-4663-9382-bccbf4107650.rna_seq.genomic.gdc_realn.bam	cbb326d939c0dba118b89e0ba7a0a87f	13853172457	released
725a9aeb-904e-46b4-a8b8-5c9239e48e45	7a0d8d05-0909-494c-8577-0ccc920f0d25.rna_seq.genomic.gdc_realn.bam	dfb4a1a589edf222d49b69ef65df48fe	11567927008	released
c107681f-122d-4c5f-9c42-3caeb5ef6cd7	25fe19df-0226-493a-afe4-63aa1a63e7da.rna_seq.genomic.gdc_realn.bam	2c370299fbda44efaf5013a5c0de0d2d	5821203057	released
dd9af2a5-6b60-42ae-8a83-5c0ae00c2cc4	e5c4c2f8-e46d-4ee4-bc10-1c5cec98aa1c.rna_seq.genomic.gdc_realn.bam	6e9327a7fb909df12e30fd593693f207	13454888355	released
9d2f5baf-371d-415a-8897-6e35d745b40e	5dcc0e20-da5b-495e-8506-c50dda4eeeb0.rna_seq.genomic.gdc_realn.bam	4b990aae4d19f5e0779523578396e99b	11847078132	released
d8fca294-e5f0-4206-b764-7d8d9bfdc905	8328c4f3-d141-4b7b-ba3c-35b1b687eae0.rna_seq.genomic.gdc_realn.bam	967f507a0c2ec9c4e06c7927a2accb07	13325562033	released
